descrition,module, module phase, register, value
sta_byte,0x43,0x00, 0x78  ,0x00
sta_word,0x43,0x00, 0x79 w    ,0x0000
sta_Vout,0x43,0x00, 0x7a  ,0x00
sta_Iout,0x43,0x00, 0x7b  ,0x00
sta_Vin,0x43,0x00,  0x7c    ,0x00
sta_temp,0x43,0x00, 0x7e  ,0x00
read_Vin,0x43,0x00, 0x88 w  ,0xd313
read_Vout,0x43,0x00,0x8b w ,0x1e70
read_Iout,0x43,0x00,0x8c w ,0xad68
read_temp,0x43,0x00,0x8f w ,0xe27e
read_freq,0x43,0x00,0x95 w ,0xfb20
Iout_falut_limit,0x43,0x00,0xe7 w,0xe2d0
sta_byte,0x43,0x01, 0x78  ,0x00
sta_word,0x43,0x01, 0x79 w    ,0x0000
sta_Vout,0x43,0x01, 0x7a  ,0x00
sta_Iout,0x43,0x01, 0x7b  ,0x00
sta_Vin,0x43,0x01,  0x7c    ,0x00
sta_temp,0x43,0x01, 0x7e  ,0x00
read_Vin,0x43,0x01, 0x88 w  ,0xd313
read_Vout,0x43,0x01,0x8b w ,0x1e70
read_Iout,0x43,0x01,0x8c w ,0xa5d2
read_temp,0x43,0x01,0x8f w ,0xe27e
read_freq,0x43,0x01,0x95 w ,0xfb20
Iout_falut_limit,0x43,0x01,0xe7 w,0xe2d0
sta_byte,0x42,0x00, 0x78  ,0x00
sta_word,0x42,0x00, 0x79 w    ,0x0000
sta_Vout,0x42,0x00, 0x7a  ,0x00
sta_Iout,0x42,0x00, 0x7b  ,0x00
sta_Vin,0x42,0x00,  0x7c    ,0x00
sta_temp,0x42,0x00, 0x7e  ,0x00
read_Vin,0x42,0x00, 0x88 w  ,0xd312
read_Vout,0x42,0x00,0x8b w ,0x1e7a
read_Iout,0x42,0x00,0x8c w ,0x92a2
read_temp,0x42,0x00,0x8f w ,0xe244
read_freq,0x42,0x00,0x95 w ,0xfb2a
Iout_falut_limit,0x42,0x00,0xe7 w,0xe2d0
sta_byte,0x42,0x01, 0x78  ,0x00
sta_word,0x42,0x01, 0x79 w    ,0x0000
sta_Vout,0x42,0x01, 0x7a  ,0x00
sta_Iout,0x42,0x01, 0x7b  ,0x00
sta_Vin,0x42,0x01,  0x7c    ,0x00
sta_temp,0x42,0x01, 0x7e  ,0x00
read_Vin,0x42,0x01, 0x88 w  ,0xd312
read_Vout,0x42,0x01,0x8b w ,0x1e7a
read_Iout,0x42,0x01,0x8c w ,0xad72
read_temp,0x42,0x01,0x8f w ,0xe236
read_freq,0x42,0x01,0x95 w ,0xfb2a
Iout_falut_limit,0x42,0x01,0xe7 w,0xe2d0
sta_byte,0x43,0x00, 0x78  ,0x00
sta_word,0x43,0x00, 0x79 w    ,0x0000
sta_Vout,0x43,0x00, 0x7a  ,0x00
